population,deltafitness
aInnXY-LHm,-0.103454582
aInnXY-LHm,-0.067145066
aInnXY-LHm,-0.210666005
aInnXY-LHm,-0.049151081
aInnXY-LHm,0.066144578
aInnXY-LHm,-0.091265673
aInnXY-LHm,-0.052325637
aInnXY-LHm,-0.041657415
aInnXY-LHm,-0.291784986
aInnXY-LHm,-0.144951956
aInnXY-LHm,0.067148687
aInnXY-LHm,-0.063840485
aInnXY-LHm,-0.164571946
aInnXY-LHm,0.000833636
aInnXY-LHm,-0.165739792
aInnXY-LHm,-0.019215898
aInnXY-LHm,-0.037487217
aInnXY-LHm,-0.127385576
aInnXY-LHm,-0.048403493
aInnXY-LHm,-0.041518183
aInnXY-LHm,-0.10747439
aInnXY-LHm,0.012886279
aInnXY-LHm,-0.050607205
aInnXY-LHm,0.020503569
aInnXY-LHm,-0.07309983
aInnXY-LHm,-0.074984898
aInnXY-LHm,-0.033060461
aInnXY-LHm,-0.108868869
aInnXY-LHm,-0.068805998
aInnXY-LHm,0.005917795
aInnXY-LHm,-0.030223286
aInnXY-LHm,-0.017343377
aInnXY-LHm,-0.124315392
aInnXY-LHm,-0.115394514
aInnXY-LHm,-0.087455479
aInnXY-LHm,-0.185615614
aInnXY-LHm,-0.072135049
aInnXY-LHm,-0.252204615
aInnXY-LHm,-0.247377319
aInnXY-LHm,-0.025573184
aInnXY-LHm,-0.036438821
aInnXY-LHm,-0.096371128
aInnXY-LHm,0.081582542
aInnXY-LHm,0.078177972
aInnXY-LHm,-0.028242371
aInnXY-LHm,-0.028160279
aInnXY-LHm,-0.068412043
aInnXY-LHm,0.018124642
aInnXY-LHm,0.042112887
aInnXY-LHm,-0.1545346
aInnXY-LHm,-0.18231231
aInnXY-LHm,-0.041259279
aInnXY-LHm,-0.12200362
aInnXY-LHm,-0.140582871
aInnXY-LHm,-0.140702216
aInnXY-LHm,0.062140901
aInnXY-LHm,-0.084097699
aInnXY-LHm,-0.114228083
aInnXY-LHm,-0.133461383
aInnXY-LHm,0.07865396
aInnXY-LHm,-0.058135781
aInnXY-LHm,-0.072531374
aInnXY-LHm,-0.133819871
aInnXY-LHm,-0.218462351
aInnXY-LHm,-0.020181362
aInnXY-LHm,-0.098571611
aInnXY-LHm,-0.112277209
aInnXY-LHm,-0.096717101
aInnXY-LHm,-0.11400584
aInnXY-LHm,-0.120407872
aInnXY-LHm,-0.122866742
aInnXY-LHm,-0.015383907
aInnXY-LHm,-0.061404842
aInnXY-LHm,-0.138566427
aInnXY-LHm,-0.131093801
aInnXY-LHm,0.110923585
aInnXY-LHm,0.09945788
aInnXY-LHm,0.033688857
aInnXY-LHm,-0.283899161
aInnXY-LHm,0.048049388
aInnXY-LHm,-0.237312852
aInnXY-LHm,0.050328726
aInnXY-LHm,-0.123727218
aInnXY-LHm,-0.051847404
aInnXY-LHm,-0.021244556
aInnXY-LHm,-0.080728979
aInnXY-LHm,-0.070480696
aInnXY-LHm,-0.021932608
aInnXY-LHm,0.029076249
aInnXY-LHm,0.036965548
aInnXY-LHm,-0.129696011
aInnXY-LHm,-0.051922347
aInnXY-LHm,-0.024673597
aInnXY-LHm,-0.098713531
aInnXY-LHm,-0.137980235
aInnXY-LHm,-0.068179574
aInnXY-LHm,-0.195937464
aInnXY-LHm,0.021382161
aInnXY-LHm,-0.093555633
aInnXY-LHm,-0.081667603
aInnXY-LHm,-0.197838337
aInnXY-LHm,-0.051793407
aInnXY-LHm,-0.254113372
aInnXY-LHm,-0.08361874
aInnXY-LHm,-0.206171304
