population,deltaprop_red
aLHmX-Inn,0.117613355
aLHmX-Inn,0.059725287
aLHmX-Inn,0.071572711
aLHmX-Inn,0.115780712
aLHmX-Inn,0.132901791
aLHmX-Inn,0.05962401
aLHmX-Inn,0.033132924
aLHmX-Inn,0.077414767
aLHmX-Inn,0.175243396
aLHmX-Inn,0.083023185
aLHmX-Inn,0.09929092
aLHmX-Inn,0.102845402
aLHmX-Inn,0.121182867
aLHmX-Inn,0.116966964
aLHmX-Inn,0.127833946
aLHmX-Inn,0.157168858
aLHmX-Inn,-0.050584947
aLHmX-Inn,0.069364981
aLHmX-Inn,0.092363728
aLHmX-Inn,0.130037751
aLHmX-Inn,0.066649296
aLHmX-Inn,0.094301738
aLHmX-Inn,0.051373796
aLHmX-Inn,0.171259148
aLHmX-Inn,0.23373053
aLHmX-Inn,0.069829149
aLHmX-Inn,0.054563105
aLHmX-Inn,0.140488427
aLHmX-Inn,0.000952949
aLHmX-Inn,0.102418112
aLHmX-Inn,0.103464296
aLHmX-Inn,0.133036483
aLHmX-Inn,0.130781446
aLHmX-Inn,0.087141168
aLHmX-Inn,0.065114084
aLHmX-Inn,0.134958049
aLHmX-Inn,0.10630434
aLHmX-Inn,0.072702744
aLHmX-Inn,0.117092711
aLHmX-Inn,0.089779289
aLHmX-Inn,-0.038165518
aLHmX-Inn,0.081677846
aLHmX-Inn,0.096908258
aLHmX-Inn,0.113038577
aLHmX-Inn,0.046090912
aLHmX-Inn,0.093761168
aLHmX-Inn,0.040069808
aLHmX-Inn,0.140055705
aLHmX-Inn,0.026546114
aLHmX-Inn,0.057457296
aLHmX-Inn,0.016291457
aLHmX-Inn,0.062256206
aLHmX-Inn,-0.000597189
aLHmX-Inn,0.100871847
aLHmX-Inn,0.025810141
aLHmX-Inn,0.068490812
aLHmX-Inn,0.128524229
aLHmX-Inn,0.078147865
aLHmX-Inn,0.032163705
aLHmX-Inn,0.035898807
aLHmX-Inn,0.056009117
aLHmX-Inn,0.031170511
aLHmX-Inn,0.138586763
aLHmX-Inn,0.106425752
aLHmX-Inn,0.111245024
aLHmX-Inn,0.024315111
aLHmX-Inn,0.066936964
aLHmX-Inn,0.097910289
aLHmX-Inn,0.087344197
aLHmX-Inn,-0.019373167
aLHmX-Inn,0.092691948
aLHmX-Inn,0.088541194
aLHmX-Inn,0.117158077
aLHmX-Inn,0.090489887
aLHmX-Inn,-0.005556487
aLHmX-Inn,0.016161346
aLHmX-Inn,0.119260653
aLHmX-Inn,0.114880073
aLHmX-Inn,0.106295789
aLHmX-Inn,0.144514246
aLHmX-Inn,0.093468819
aLHmX-Inn,0.07631863
aLHmX-Inn,0.102263235
aLHmX-Inn,0.181508903
aLHmX-Inn,0.119334751
aLHmX-Inn,0.10403664
aLHmX-Inn,0.101725196
aLHmX-Inn,0.088228286
aLHmX-Inn,0.085556142
aLHmX-Inn,0.102211415
aLHmX-Inn,0.122596289
aLHmX-Inn,0.102979863
aLHmX-Inn,0.123139167
aLHmX-Inn,0.081056255
aLHmX-Inn,0.085803434
aLHmX-Inn,0.110277614
aLHmX-Inn,0.105719867
aLHmX-Inn,0.121598728
aLHmX-Inn,0.063766648
aLHmX-Inn,0.051118554
aLHmX-Inn,0.034849674
aLHmX-Inn,0.137094494
aLHmX-Inn,0.073093309
aLHmX-Inn,0.088335911
aLHmX-Inn,0.006106481
aLHmX-Inn,0.104952773
aLHmX-Inn,0.100517901
aLHmX-Inn,0.080864105
aLHmX-Inn,0.111412606
aLHmX-Inn,0.11216763
aLHmX-Inn,0.131663141
aLHmX-Inn,0.038323698
aLHmX-Inn,0.136648317
aLHmX-Inn,0.075391287
aLHmX-Inn,0.190501564
aLHmX-Inn,0.165028098
aLHmX-Inn,0.11150234
aLHmX-Inn,0.144230192
aLHmX-Inn,0.077174277
aLHmX-Inn,0.078861864
aLHmX-Inn,0.027368666
aLHmX-Inn,0.162728185
aLHmX-Inn,0.093782232
aLHmX-Inn,0.082317355
aLHmX-Inn,0.073725662
aLHmX-Inn,0.027695817
aLHmX-Inn,0.072411249
aLHmX-Inn,0.10102452
aLHmX-Inn,-0.001250237
aLHmX-Inn,0.029349625
aLHmX-Inn,0.038591307
aLHmX-Inn,0.120413654
aLHmX-Inn,0.028437392
aLHmX-Inn,0.040777334
aLHmX-Inn,0.127161681
aLHmX-Inn,0.052482941
aLHmX-Inn,0.092581622
aLHmX-Inn,0.083845844
aLHmX-Inn,0.068523554
aLHmX-Inn,0.118347188
aLHmX-Inn,0.06448944
aLHmX-Inn,0.070547293
aLHmX-Inn,0.108189657
aLHmX-Inn,0.014754233
aLHmX-Inn,0.102550418
aLHmX-Inn,0.085640361
aLHmX-Inn,0.101612437
aLHmX-Inn,0.113685167
aLHmX-Inn,0.094441355
aLHmX-Inn,0.117397952
aLHmX-Inn,0.131032639
aLHmX-Inn,0.054274672
aLHmX-Inn,0.095080187
aLHmX-Inn,0.094766787
aLHmX-Inn,0.14174537
aLHmX-Inn,0.076107139
aLHmX-Inn,0.061171941
aLHmX-Inn,0.196323186
aLHmX-Inn,0.036541532
aLHmX-Inn,0.083955029
aLHmX-Inn,0.087471264
aLHmX-Inn,0.108766167
aLHmX-Inn,0.084386126
aLHmX-Inn,0.025997576
aLHmX-Inn,0.023528789
aLHmX-Inn,0.047923107
aLHmX-Inn,0.14347276
aLHmX-Inn,0.028994627
aLHmX-Inn,-0.004383078
aLHmX-Inn,0.099740536
aLHmX-Inn,0.112642172
aLHmX-Inn,0.189252044
aLHmX-Inn,0.108992944
aLHmX-Inn,0.085520681
aLHmX-Inn,0.083702004
aLHmX-Inn,0.052704642
aLHmX-Inn,0.09345412
aLHmX-Inn,0.097455529
aLHmX-Inn,0.097114896
aLHmX-Inn,0.105356325
aLHmX-Inn,0.066299378
aLHmX-Inn,0.152820509
aLHmX-Inn,0.178232536
aLHmX-Inn,0.061155418
aLHmX-Inn,0.088822063
aLHmX-Inn,0.103035976
aLHmX-Inn,0.032847647
aLHmX-Inn,0.054433342
aLHmX-Inn,0.151083966
aLHmX-Inn,0.146928738
aLHmX-Inn,0.052853053
aLHmX-Inn,0.125279605
aLHmX-Inn,0.148400743
aLHmX-Inn,0.082634698
aLHmX-Inn,0.013309531
aLHmX-Inn,0.02760848
aLHmX-Inn,0.030685436
aLHmX-Inn,0.091519869
aLHmX-Inn,0.096765725
aLHmX-Inn,0.092004091
aLHmX-Inn,0.102841247
aLHmX-Inn,0.121687161
aLHmX-Inn,0.030120065
aLHmX-Inn,0.135804346
aLHmX-Inn,0.087801403
aLHmX-Inn,0.087759718
aLHmX-Inn,0.057810256
aLHmX-Inn,0.10811369
aLHmX-Inn,0.077229148
aLHmX-Inn,0.176985266
aLHmX-Inn,0.097582768
aLHmX-Inn,0.107276735
aLHmX-Inn,0.037279788
aLHmX-Inn,0.07701932
aLHmX-Inn,0.066302699
aLHmX-Inn,0.108864034
aLHmX-Inn,0.084067006
aLHmX-Inn,0.064570814
aLHmX-Inn,0.109058727
aLHmX-Inn,0.002391295
aLHmX-Inn,0.073151838
aLHmX-Inn,0.033557566
aLHmX-Inn,0.047850378
aLHmX-Inn,0.099862933
