population,deltaProp_eclose
aLHmX_Inn,-0.023333333
aLHmX_Inn,0.030142857
aLHmX_Inn,-0.037575758
aLHmX_Inn,-0.02469697
aLHmX_Inn,-0.019
aLHmX_Inn,0.005844156
aLHmX_Inn,-0.081333333
aLHmX_Inn,-0.035636364
aLHmX_Inn,-0.053636364
aLHmX_Inn,-0.0395
aLHmX_Inn,-0.026767677
aLHmX_Inn,-0.004545455
aLHmX_Inn,-0.044318182
aLHmX_Inn,-0.037222222
aLHmX_Inn,0.006142857
aLHmX_Inn,-0.033636364
aLHmX_Inn,-0.033
aLHmX_Inn,-0.004166667
aLHmX_Inn,0.01875
aLHmX_Inn,-0.022
aLHmX_Inn,-0.029166667
aLHmX_Inn,0.005777778
aLHmX_Inn,0.005833333
aLHmX_Inn,-0.017171717
aLHmX_Inn,-0.005888889
aLHmX_Inn,0.038888889
aLHmX_Inn,0.089886364
aLHmX_Inn,-0.055277778
aLHmX_Inn,-0.090340909
aLHmX_Inn,-0.066623377
aLHmX_Inn,-0.01
aLHmX_Inn,0.036666667
aLHmX_Inn,-0.050777778
aLHmX_Inn,-0.03
aLHmX_Inn,-0.017045455
aLHmX_Inn,-0.006333333
aLHmX_Inn,-0.034545455
aLHmX_Inn,0.013636364
aLHmX_Inn,-0.0075
aLHmX_Inn,-0.019166667
aLHmX_Inn,-0.064333333
aLHmX_Inn,0.01
aLHmX_Inn,-0.017333333
aLHmX_Inn,-0.05
aLHmX_Inn,-0.0425
aLHmX_Inn,-0.041136364
aLHmX_Inn,-0.037
aLHmX_Inn,-0.036
aLHmX_Inn,-0.067361111
aLHmX_Inn,0.004428571
aLHmX_Inn,-0.0065
aLHmX_Inn,-0.00825
aLHmX_Inn,-0.060714286
aLHmX_Inn,-0.005
aLHmX_Inn,-0.000833333
aLHmX_Inn,-0.007373737
aLHmX_Inn,-0.069583333
aLHmX_Inn,-0.030909091
aLHmX_Inn,-0.001818182
aLHmX_Inn,-0.100833333
aLHmX_Inn,-0.057571429
